timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 10:51:05.211522,1,field,h2,h3,0.0
2026-04-15 10:51:26.070212,2,field,h2,h3,0.0
2026-04-15 10:51:46.549811,3,field,h2,h3,0.0
2026-04-15 10:52:07.031686,4,field,h2,h3,0.0
2026-04-15 10:52:27.578731,5,field,h2,h3,0.0
2026-04-15 10:52:48.278058,1,system,h3,h4,0.0
2026-04-15 10:53:09.091583,2,system,h3,h4,0.0
2026-04-15 10:53:29.591807,3,system,h3,h4,0.0
2026-04-15 10:53:50.133929,4,system,h3,h4,0.0
2026-04-15 10:54:11.044627,5,system,h3,h4,0.0
