metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.51,1.48
RTT,system,h3,h4,0.33,0.83
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,5.15,0
Throughput,system,h3,h4,4.94,0
