metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.2,0.57
RTT,system,h3,h4,0.45,1.51
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,3.73,0
Throughput,system,h3,h4,4.97,0
