metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.53,1.26
RTT,system,h3,h4,0.66,1.9
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.88,0
Throughput,system,h3,h4,4.38,0
