metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.32,0.96
RTT,system,h3,h4,0.34,1.0
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.95,0.07
Throughput,system,h3,h4,5.03,0.05
