metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.73,2.51
RTT,system,h3,h4,0.36,0.96
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.96,0
Throughput,system,h3,h4,4.96,0
