metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.38,1.12
RTT,system,h3,h4,0.29,0.64
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,5.12,0.14
Throughput,system,h3,h4,5.02,0.11
