timestamp,run_id,phase,source,event,bus,v_raw,i_raw,v_final,i_final,breaker_cmd,breaker_fb,ttl,client,detail
2026-04-29 01:31:48,no_attack,pre_attack,h3,final_forward,1,0.000000,0.000000,0.000000,0.000000,1,0,,,RTU
2026-04-29 01:31:48,no_attack,pre_attack,h3,final_forward,2,0.000000,0.000000,0.000000,0.000000,1,0,,,RTU
2026-04-29 01:31:48,no_attack,pre_attack,h3,final_forward,3,0.000000,0.000000,0.000000,0.000000,1,0,,,RTU
2026-04-29 01:31:48,no_attack,pre_attack,h3,final_forward,4,0.000000,0.000000,0.000000,0.000000,1,0,,,RTU
2026-04-29 01:31:48,no_attack,pre_attack,h3,final_forward,5,0.000000,0.000000,0.000000,0.000000,1,0,,,RTU
2026-04-29 01:31:48,no_attack,pre_attack,h2,original_sample,1,1.013000,167.500000,1.013000,167.500000,1,,,,
2026-04-29 01:31:48,no_attack,pre_attack,h2,original_sample,2,0.977000,330.240000,0.977000,330.240000,1,,,,
2026-04-29 01:31:48,no_attack,pre_attack,h2,original_sample,3,1.023000,639.800000,1.023000,639.800000,1,,,,
2026-04-29 01:31:48,no_attack,pre_attack,h2,original_sample,4,1.039000,212.840000,1.039000,212.840000,1,,,,
2026-04-29 01:31:48,no_attack,pre_attack,h2,original_sample,5,0.992000,174.820000,0.992000,174.820000,1,,,,
2026-04-29 01:31:52,no_attack,pre_attack,h3,final_forward,1,1.012000,167.500000,1.012000,167.500000,1,1,,,RTU
2026-04-29 01:31:52,no_attack,pre_attack,h3,final_forward,2,0.977000,330.240000,0.977000,330.240000,1,1,,,RTU
2026-04-29 01:31:52,no_attack,pre_attack,h3,final_forward,3,1.022000,639.780000,1.022000,639.780000,1,1,,,RTU
2026-04-29 01:31:52,no_attack,pre_attack,h3,final_forward,4,1.039000,212.840000,1.039000,212.840000,1,1,,,RTU
2026-04-29 01:31:52,no_attack,pre_attack,h3,final_forward,5,0.992000,174.820000,0.992000,174.820000,1,1,,,RTU
2026-04-29 01:31:52,no_attack,pre_attack,h2,original_sample,1,0.971000,547.820000,0.971000,547.820000,1,,,,
