timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 15:48:32.706649,1,field,h2,h3,4.94
2026-04-15 15:48:40.234432,2,field,h2,h3,5.0
2026-04-15 15:48:47.545862,3,field,h2,h3,5.01
2026-04-15 15:48:54.807946,4,field,h2,h3,4.81
2026-04-15 15:49:02.024081,5,field,h2,h3,5.17
2026-04-15 15:49:09.448167,1,system,h3,h4,4.99
2026-04-15 15:49:16.646438,2,system,h3,h4,5.12
2026-04-15 15:49:23.801182,3,system,h3,h4,4.95
2026-04-15 15:49:31.223009,4,system,h3,h4,5.07
2026-04-15 15:49:38.435534,5,system,h3,h4,5.12
