timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 15:45:20.143378,1,field,h2,h3,0.0
2026-04-15 15:45:40.601261,2,field,h2,h3,0.0
2026-04-15 15:46:01.139956,3,field,h2,h3,0.0
2026-04-15 15:46:21.893075,4,field,h2,h3,0.0
2026-04-15 15:46:42.337628,5,field,h2,h3,0.0
2026-04-15 15:47:03.193406,1,system,h3,h4,0.0
2026-04-15 15:47:23.709486,2,system,h3,h4,0.0
2026-04-15 15:47:44.278393,3,system,h3,h4,0.0
2026-04-15 15:48:04.791069,4,system,h3,h4,0.0
2026-04-15 15:48:25.365382,5,system,h3,h4,0.0
