metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.27,0.74
RTT,system,h3,h4,1.26,2.74
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,3.28,0
Throughput,system,h3,h4,4.93,0
