metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.84,3.7
RTT,system,h3,h4,3.69,26.19
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,2.94,0.12
Throughput,system,h3,h4,4.8,0.2
