metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.44,1.22
RTT,system,h3,h4,0.32,0.76
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.98,0
Throughput,system,h3,h4,4.94,0
