probe,t_h2_unix,t_h4_unix,delta_ms,status
83,1778604038.513981,1778604050.445429,11931.4480,OK
84,1778604048.743494,,,MISSING_H4
85,1778604058.810802,1778604060.584066,1773.2639,OK
86,1778604068.354790,,,MISSING_H4
87,1778604078.022399,1778604080.291778,2269.3791,OK
88,1778604088.493345,,,MISSING_H4
