dos_mode,metric,value
heavy,n_runs,3
heavy,mean_of_run_means_ms,5324.697
heavy,stdev_of_run_means_ms,5726.9889
heavy,join_n_probe_rows,6
heavy,join_n_ok,3
heavy,join_n_missing_h4,3
heavy,join_n_missing_h2,0
mean,ok/probe x 100,50
