dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
heavy,1,1,11931.448,0.0,11931.448,11931.448
heavy,2,1,1773.2639,0.0,1773.2639,1773.2639
heavy,3,1,2269.3791,0.0,2269.3791,2269.3791
