timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:44:26.787905,1,field,h2,h3,0.63,ok,,
2026-05-08 00:44:34.830193,2,field,h2,h3,0.37,ok,,
2026-05-08 00:44:44.052392,3,field,h2,h3,0.45,ok,,
2026-05-08 00:44:52.734494,1,system,h3,h4,5.52,ok,,
2026-05-08 00:45:01.850793,2,system,h3,h4,5.77,ok,,
2026-05-08 00:45:10.450646,3,system,h3,h4,5.53,ok,,
