metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,3.19,10.34
RTT,system,h3,h4,7.47,8.05
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,3.3,0.44
Throughput,system,h3,h4,4.09,0.27
