metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.12,0.14
RTT,system,h3,h4,0.12,0.13
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,1.79,0
Throughput,system,h3,h4,1.46,0
