Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-19 14:09:12] [iter 5] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=468.0333 A, PF=0.9736, V_out=1.0090 pu, I_out=468.0333 A, V_DT=1.0082 pu, P=87.5995 MW, Q=20.5377 MVar


[2026-05-19 14:09:17] [iter 6] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=1115.4667 A, PF=0.9700, V_out=1.0180 pu, I_out=1115.4667 A, V_DT=1.0200 pu, P=209.8599 MW, Q=52.5958 MVar
[2026-05-19 14:09:17] [iter 6] [Bus 2] P/Q/CMD -> V_in=1.0080 pu, I_in=551.6333 A, PF=0.9269, V_out=1.0080 pu, I_out=551.6333 A, V_DT=1.0082 pu, P=98.1968 MW, Q=39.7606 MVar
[2026-05-19 14:09:17] [iter 6] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=368.5333 A, PF=0.8887, V_out=1.0080 pu, I_out=368.5333 A, V_DT=1.0059 pu, P=62.8993 MW, Q=32.4504 MVar
[2026-05-19 14:09:17] [iter 6] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=600.6667 A, PF=0.8625, V_out=1.0080 pu, I_out=600.6667 A, V_DT=1.0100 pu, P=99.4962 MW, Q=58.3777 MVar
[2026-05-19 14:09:17] [iter 6] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=626.7000 A, PF=0.9741, V_out=1.0060 pu, I_out=626.7000 A, V_DT=1.0082 pu, P=117.0077 MW, Q=27.1610 MVar


[2026-05-19 14:09:21] [iter 7] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=839.7333 A, PF=0.9836, V_out=1.0170 pu, I_out=839.7333 A, V_DT=1.0200 pu, P=160.0421 MW, Q=29.3471 MVar
[2026-05-19 14:09:21] [iter 7] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=399.8667 A, PF=0.9584, V_out=1.0120 pu, I_out=399.8667 A, V_DT=1.0085 pu, P=73.8917 MW, Q=22.0063 MVar
[2026-05-19 14:09:21] [iter 7] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=411.3000 A, PF=0.9676, V_out=1.0080 pu, I_out=411.3000 A, V_DT=1.0063 pu, P=76.4308 MW, Q=19.9441 MVar
[2026-05-19 14:09:21] [iter 7] [Bus 4] P/Q/CMD -> V_in=1.0030 pu, I_in=572.8667 A, PF=0.9061, V_out=1.0030 pu, I_out=572.8667 A, V_DT=1.0100 pu, P=99.1937 MW, Q=46.3141 MVar
[2026-05-19 14:09:21] [iter 7] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=592.8333 A, PF=0.9721, V_out=1.0070 pu, I_out=592.8333 A, V_DT=1.0077 pu, P=110.5672 MW, Q=26.6798 MVar


[2026-05-19 14:09:25] [iter 8] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=915.0333 A, PF=0.9809, V_out=1.0210 pu, I_out=915.0333 A, V_DT=1.0200 pu, P=174.5986 MW, Q=34.6229 MVar
[2026-05-19 14:09:25] [iter 8] [Bus 2] P/Q/CMD -> V_in=1.0050 pu, I_in=411.2000 A, PF=0.9495, V_out=1.0050 pu, I_out=411.2000 A, V_DT=1.0107 pu, P=74.7597 MW, Q=24.7047 MVar
