waktu,iterasi_ke,bus,i_before,i_after,v_field,v_dt_mitm,v_dt_baseline,drift_mitm,drift_baseline,breaker_mitm,breaker_baseline,i_path
30,2,4,168.275862,168.275862,1.044000,0.919882,1.039020,0.124118,-0.004980,1,1,normal
30,2,5,163.000000,163.000000,0.952000,0.931711,1.040319,0.020289,0.088319,0,1,normal
31,2,1,397.758621,397.758621,0.962000,1.026383,1.045291,0.064383,0.083291,1,1,normal
31,2,2,182.896552,1596.896552,1.006000,1.022078,1.045310,0.016078,0.039310,1,1,injected
31,2,3,417.482759,1612.655172,1.018000,1.012895,1.039498,0.005105,0.021498,1,1,injected
31,2,4,367.689655,1646.275862,0.966000,0.999435,1.039928,0.033435,0.073928,0,1,injected
31,2,5,135.137931,1589.620690,1.024000,1.000072,1.041295,0.023928,0.017295,1,1,injected
32,2,1,497.034483,1597.413793,1.031000,1.028411,1.044161,0.002589,0.013161,1,1,injected
32,2,2,103.413793,103.413793,0.960000,1.009527,1.045925,0.049527,0.085925,1,1,normal
32,2,3,393.758621,1657.758621,0.981000,0.992645,1.039623,0.011645,0.058623,1,1,injected
32,2,4,251.241379,1576.482759,1.045000,0.955939,1.039484,0.089061,-0.005516,1,1,injected
32,2,5,118.965517,118.965517,1.020000,0.965542,1.041109,0.054458,0.021109,0,1,normal
33,2,1,357.482759,1668.655172,1.018000,1.022186,1.042520,0.004186,0.024520,1,1,injected
33,2,2,446.000000,446.000000,0.960000,1.018791,1.046893,0.058791,0.086893,1,1,normal
33,2,3,340.551724,340.551724,1.035000,1.001508,1.040224,0.033492,0.005224,1,1,normal
33,2,4,541.862069,541.862069,0.962000,0.982376,1.039895,0.020376,0.077895,0,1,normal
33,2,5,234.344828,234.344828,1.028000,0.984489,1.041601,0.043511,0.013601,1,1,normal
34,2,1,253.068966,253.068966,0.992000,1.017335,1.042354,0.025335,0.050354,1,1,normal
34,2,2,238.206897,238.206897,1.000000,1.025607,1.045668,0.025607,0.045668,1,1,normal
34,2,3,435.000000,435.000000,1.034000,1.013029,1.039689,0.020971,0.005689,1,1,normal
34,2,4,532.172414,532.172414,0.960000,0.987433,1.038505,0.027433,0.078505,1,1,normal
