Waktu;iterasi_ke;bus;i_before;i_after;v_field;v_dt_mitm;v_dt_baseline;breaker_mitm;breaker_baseline;;;
15;1;1;317.275862;1621.551724;1.026000;1.022284;1.043292;1;1;;;
15;1;2;312.896552;1567.344828;1.027000;1.021159;1.045771;1;1;;;
15;1;3;242.965517;1602.620690;0.950000;1.006459;1.039406;1;1;;;
15;1;4;522.275862;1661.965517;0.951000;0.992511;1.037735;0;1;;;
15;1;5;437.724138;1698.172414;1.037000;0.993021;1.039285;1;1;;;
16;1;1;115.793103;1608.896552;0.980000;1.013685;1.043133;1;1;;;
16;1;2;486.689655;1514.758621;1.037000;1.003324;1.045460;1;1;;;
16;1;3;315.137931;1636.413793;0.958000;0.979655;1.039216;1;1;;;
16;1;4;442.068966;442.068966;0.956000;0.938408;1.036280;1;1;;;
16;1;5;140.862069;1664.862069;1.026000;0.948232;1.037929;0;1;;;
17;1;1;115.793103;115.793103;0.980000;1.011353;1.044589;1;1;;;
17;1;2;486.689655;486.689655;1.037000;1.001466;1.044504;1;1;;;
17;1;3;315.137931;315.137931;0.958000;0.981669;1.039079;1;1;;;
17;1;4;442.068966;442.068966;0.956000;0.960714;1.036609;0;1;;;
17;1;5;140.862069;140.862069;1.026000;0.960015;1.038494;1;1;;;
18;1;1;331.000000;331.000000;0.997000;1.025486;1.043971;1;1;;;
18;1;2;483.620690;1510.310345;0.976000;1.020892;1.044205;1;1;;;
18;1;3;182.724138;1537.172414;0.992000;1.010601;1.039546;1;1;;;
18;1;4;407.896552;1638.034483;1.002000;0.990844;1.037015;1;1;;;
18;1;5;232.275862;1554.827586;0.970000;0.996551;1.038957;0;1;;;
19;1;1;356.586207;1503.241379;1.049000;1.029422;1.043567;1;1;;;
19;1;2;317.965517;1623.965517;0.993000;1.014122;1.044006;1;1;;;
19;1;3;194.379310;1565.551724;0.962000;1.000640;1.039843;1;1;;;
19;1;4;352.862069;1587.379310;0.983000;0.982643;1.037275;0;1;;;
19;1;5;190.172414;1568.103448;0.973000;0.982738;1.039254;1;1;;;
20;1;1;382.413793;1548.172414;0.957000;1.019600;1.043059;1;1;;;
20;1;2;500.344828;1672.068966;0.972000;0.999329;1.044728;1;1;;;
20;1;3;115.137931;1533.206897;1.035000;0.976962;1.040364;1;1;;;
20;1;4;392.965517;1634.034483;0.973000;0.933731;1.037821;1;1;;;
20;1;5;150.620690;150.620690;0.971000;0.944023;1.039803;0;1;;;
21;1;1;325.379310;325.379310;1.043000;1.016513;1.042732;1;1;;;
21;1;2;434.793103;434.793103;0.997000;0.999503;1.044434;1;1;;;
21;1;3;166.793103;166.793103;1.030000;0.981481;1.040736;1;1;;;
21;1;4;289.551724;289.551724;0.959000;0.961086;1.038288;0;1;;;
21;1;5;296.000000;296.000000;0.992000;0.963561;1.040327;1;1;;;
22;1;1;325.379310;1643.482759;1.043000;1.026559;1.042723;1;1;;;
22;1;2;434.793103;434.793103;0.997000;1.019778;1.044443;1;1;;;
22;1;3;166.793103;1629.137931;1.030000;1.010555;1.040863;1;1;;;
22;1;4;289.551724;289.551724;0.959000;0.988051;1.038623;1;1;;;
