cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
27,1780243288.203295,3,2,1.007298,114.652328,1
27,1780243288.203295,4,3,1.010000,470.023062,1
27,1780243288.203295,5,,1.008093,0.000000,1
28,1780243289.204750,1,0,1.020000,719.057099,1
28,1780243289.204750,2,1,1.010854,386.593890,1
28,1780243289.204750,3,2,1.007895,90.610719,1
28,1780243289.204750,4,3,1.010000,456.201816,1
28,1780243289.204750,5,,1.008310,0.000000,1
29,1780243290.241525,1,0,1.020000,801.301296,1
29,1780243290.241525,2,1,1.010458,497.868004,1
29,1780243290.241525,3,2,1.006714,138.449092,1
29,1780243290.241525,4,3,1.010000,467.533415,1
29,1780243290.241525,5,,1.008287,0.000000,1
30,1780243291.244890,1,0,1.020000,823.337023,1
30,1780243291.244890,2,1,1.010099,510.945812,1
30,1780243291.244890,3,2,1.006908,140.147353,1
30,1780243291.244890,4,3,1.010000,476.977624,1
30,1780243291.244890,5,,1.008314,0.000000,1
31,1780243292.254754,1,0,1.020000,784.833042,1
31,1780243292.254754,2,1,1.010016,375.856917,1
31,1780243292.254754,3,2,1.007633,111.928144,1
31,1780243292.254754,4,3,1.010000,477.001139,1
31,1780243292.254754,5,,1.008159,0.000000,1
33,1780243293.599440,1,0,1.020000,811.917165,1
33,1780243293.599440,2,1,1.009831,391.061349,1
33,1780243293.599440,3,2,1.007405,119.228395,1
33,1780243293.599440,4,3,1.010000,480.700316,1
33,1780243293.599440,5,,1.008069,0.000000,1
34,1780243294.599981,1,0,1.020000,743.470540,1
34,1780243294.599981,2,1,1.011781,439.024900,1
34,1780243294.599981,3,2,1.008895,82.058957,1
34,1780243294.599981,4,3,1.010000,494.729915,1
34,1780243294.599981,5,,1.007930,0.000000,1
35,1780243295.619534,1,0,1.020000,957.838316,1
35,1780243295.619534,2,1,1.010111,533.263112,1
35,1780243295.619534,3,2,1.007323,141.323397,1
35,1780243295.619534,4,3,1.010000,508.265272,1
35,1780243295.619534,5,,1.007916,0.000000,1
35,1780243296.629967,1,0,1.020000,783.185024,1
35,1780243296.629967,2,1,1.009887,422.124945,1
35,1780243296.629967,3,2,1.006902,133.695004,1
35,1780243296.629967,4,3,1.010000,463.801892,1
35,1780243296.629967,5,,1.008488,0.000000,1
37,1780243297.702857,1,0,1.020000,776.527986,1
37,1780243297.702857,2,1,1.011068,463.495785,1
37,1780243297.702857,3,2,1.007944,127.242490,1
37,1780243297.702857,4,3,1.010000,496.048125,1
37,1780243297.702857,5,,1.008391,0.000000,1
38,1780243298.703982,1,0,1.020000,778.631120,1
38,1780243298.703982,2,1,1.010875,422.188892,1
38,1780243298.703982,3,2,1.008054,130.058611,1
38,1780243298.703982,4,3,1.010000,511.182449,1
38,1780243298.703982,5,,1.008081,0.000000,1
39,1780243299.708628,1,0,1.020000,736.730833,1
39,1780243299.708628,2,1,1.011230,376.684728,1
39,1780243299.708628,3,2,1.008620,83.281050,1
39,1780243299.708628,4,3,1.010000,471.551809,1
39,1780243299.708628,5,,1.008373,0.000000,1
40,1780243300.915547,1,0,1.020000,684.138070,1
40,1780243300.915547,2,1,1.011769,394.505768,1
40,1780243300.915547,3,2,1.008680,90.868234,1
40,1780243300.915547,4,3,1.010000,485.226858,1
40,1780243300.915547,5,,1.008225,0.000000,1
41,1780243301.917714,1,0,1.020000,828.349876,1
41,1780243301.917714,2,1,1.009745,511.633348,1
41,1780243301.917714,3,2,1.006349,160.775325,1
41,1780243301.917714,4,3,1.010000,483.274232,1
41,1780243301.917714,5,,1.008205,0.000000,1
41,1780243302.972469,1,0,1.020000,769.231924,1
41,1780243302.972469,2,1,1.011116,431.267379,1
41,1780243302.972469,3,2,1.008449,78.520617,1
41,1780243302.972469,4,3,1.010000,462.539422,1
41,1780243302.972469,5,,1.008328,0.000000,1
43,1780243303.980502,1,0,1.020000,780.507328,1
43,1780243303.980502,2,1,1.010343,464.694216,1
43,1780243303.980502,3,2,1.007097,127.571578,1
43,1780243303.980502,4,3,1.010000,468.782101,1
43,1780243303.980502,5,,1.008325,0.000000,1
44,1780243304.989268,1,0,1.020000,786.775403,1
44,1780243304.989268,2,1,1.011114,503.990208,1
44,1780243304.989268,3,2,1.008075,86.040139,1
44,1780243304.989268,4,3,1.010000,466.291441,1
44,1780243304.989268,5,,1.008104,0.000000,1
45,1780243306.383629,1,0,1.020000,813.721171,1
45,1780243306.383629,2,1,1.011289,505.016440,1
45,1780243306.383629,3,2,1.008133,99.038185,1
45,1780243306.383629,4,3,1.010000,486.883010,1
45,1780243306.383629,5,,1.008000,0.000000,1
47,1780243307.439124,1,0,1.020000,855.722469,1
47,1780243307.439124,2,1,1.009980,449.773653,1
47,1780243307.439124,3,2,1.007537,106.502694,1
47,1780243307.439124,4,3,1.010000,471.979023,1
47,1780243307.439124,5,,1.008047,0.000000,1
48,1780243308.440150,1,0,1.020000,711.392758,1
48,1780243308.440150,2,1,1.011466,421.971487,1
48,1780243308.440150,3,2,1.008583,97.108555,1
48,1780243308.440150,4,3,1.010000,498.887352,1
48,1780243308.440150,5,,1.007967,0.000000,1
48,1780243309.455553,1,0,1.020000,837.569566,1
48,1780243309.455553,2,1,1.010366,463.384353,1
48,1780243309.455553,3,2,1.007913,127.088700,1
48,1780243309.455553,4,3,1.010000,513.866094,1
48,1780243309.455553,5,,1.007865,0.000000,1
50,1780243310.496235,1,0,1.020000,716.849924,1
50,1780243310.496235,2,1,1.011150,374.590406,1
50,1780243310.496235,3,2,1.008782,87.768801,1
50,1780243310.496235,4,3,1.010000,493.260330,1
50,1780243310.496235,5,,1.008013,0.000000,1
51,1780243311.549953,1,0,1.020000,813.474589,1
51,1780243311.549953,2,1,1.009797,421.086065,1
51,1780243311.549953,3,2,1.006745,132.986172,1
51,1780243311.549953,4,3,1.010000,456.705558,1
51,1780243311.549953,5,,1.008442,0.000000,1
51,1780243312.580549,1,0,1.020000,813.474589,1
51,1780243312.580549,2,1,1.009797,421.086065,1
51,1780243312.580549,3,2,1.006745,132.986172,1
51,1780243312.580549,4,3,1.010000,456.705558,1
51,1780243312.580549,5,,1.008442,0.000000,1
52,1780243313.585864,1,0,1.020000,891.959198,1
52,1780243313.585864,2,1,1.009565,477.216839,1
52,1780243313.585864,3,2,1.006645,135.367503,1
