timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 13:29:18.723297,1,field,h2,h3,0.0
2026-04-15 13:29:39.432051,2,field,h2,h3,0.0
2026-04-15 13:29:59.926596,3,field,h2,h3,0.0
2026-04-15 13:30:20.437706,4,field,h2,h3,0.0
2026-04-15 13:30:41.082039,5,field,h2,h3,0.0
2026-04-15 13:31:01.814752,1,system,h3,h4,0.0
2026-04-15 13:31:22.703140,2,system,h3,h4,0.0
2026-04-15 13:31:43.158902,3,system,h3,h4,0.0
2026-04-15 13:32:03.862101,4,system,h3,h4,0.0
2026-04-15 13:32:24.503626,5,system,h3,h4,0.0
