timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 13:32:31.895451,1,field,h2,h3,4.98
2026-04-15 13:32:40.943257,2,field,h2,h3,4.97
2026-04-15 13:32:48.395774,3,field,h2,h3,5.29
2026-04-15 13:32:55.516586,4,field,h2,h3,5.03
2026-04-15 13:33:02.743288,5,field,h2,h3,5.08
2026-04-15 13:33:09.831028,1,system,h3,h4,5.01
2026-04-15 13:33:16.927160,2,system,h3,h4,5.01
2026-04-15 13:33:24.206532,3,system,h3,h4,5.05
2026-04-15 13:33:31.609717,4,system,h3,h4,4.93
2026-04-15 13:33:38.804695,5,system,h3,h4,5.12
