cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
4,1780251226.840224,1780251226.840830,1,1.019232,738.433814,0.966900,1
4,1780251226.845417,1780251226.845891,2,1.010322,287.494064,0.915900,1
4,1780251226.850649,1780251226.851104,3,1.006210,444.813380,0.929000,1
4,1780251226.855606,1780251226.856041,4,1.013336,466.636220,0.892200,1
4,1780251226.860924,1780251226.861316,5,1.010111,467.140021,0.973600,1
5,1780251227.863887,1780251227.864597,1,1.021184,887.311323,0.976700,1
5,1780251227.869457,1780251227.870072,2,1.005002,430.082876,0.900500,1
5,1780251227.876280,1780251227.876746,3,1.009519,465.514894,0.942800,1
5,1780251227.881148,1780251227.881608,4,1.004926,515.217501,0.802800,1
5,1780251227.886085,1780251227.886545,5,1.004331,481.231049,0.956200,1
6,1780251228.857824,1780251228.858095,1,1.020916,828.331132,0.970900,1
6,1780251228.860666,1780251228.860934,2,1.011563,440.336648,0.926900,1
6,1780251228.863610,1780251228.863876,3,1.009926,368.224565,0.888700,1
6,1780251228.872124,1780251228.872463,4,1.008017,494.542962,0.845000,1
6,1780251228.875748,1780251228.876021,5,1.008670,501.928841,0.974100,1
7,1780251229.859790,1780251229.860068,1,1.018139,837.657393,0.984200,1
7,1780251229.863111,1780251229.863396,2,1.009968,401.940368,0.958400,1
7,1780251229.866147,1780251229.866420,3,1.010896,409.339308,0.967600,1
7,1780251229.872638,1780251229.872923,4,1.008658,458.431298,0.904000,1
7,1780251229.877482,1780251229.877868,5,1.005438,477.831382,0.972100,1
8,1780251230.864829,1780251230.865332,1,1.017576,911.300471,0.985100,1
8,1780251230.871172,1780251230.871676,2,1.011280,407.565385,0.949500,1
8,1780251230.876907,1780251230.877460,3,1.008145,481.426032,0.932000,1
8,1780251230.882291,1780251230.882757,4,1.003957,523.284276,0.793700,1
8,1780251230.887598,1780251230.888268,5,1.006682,503.007443,0.951800,1
9,1780251231.865122,1780251231.865754,1,1.021492,682.173247,0.951700,1
9,1780251231.871082,1780251231.872332,2,1.006606,320.875102,0.923200,1
9,1780251231.878262,1780251231.878725,3,1.011008,361.585429,0.901000,1
9,1780251231.883800,1780251231.884367,4,1.014322,465.410032,0.894300,1
9,1780251231.890499,1780251231.890960,5,1.007358,464.484581,0.961100,1
10,1780251232.865488,1780251232.866333,1,1.021846,791.749028,0.967700,1
10,1780251232.871346,1780251232.871879,2,1.008642,384.302818,0.929200,1
10,1780251232.877238,1780251232.877994,3,1.006097,410.869985,0.898900,1
10,1780251232.882624,1780251232.883189,4,1.013867,462.418979,0.893200,1
10,1780251232.888006,1780251232.888486,5,1.003627,462.859027,0.987500,1
11,1780251233.865196,1780251233.865769,1,1.024330,754.701079,0.971400,1
11,1780251233.870907,1780251233.871389,2,1.005300,376.222648,0.948700,1
11,1780251233.876100,1780251233.876566,3,1.010072,357.062274,0.945600,1
11,1780251233.881181,1780251233.881700,4,1.006641,459.399390,0.907800,1
11,1780251233.886548,1780251233.887025,5,1.010305,468.069211,0.965200,1
12,1780251234.865857,1780251234.866399,1,1.020737,895.951544,0.984900,1
12,1780251234.871188,1780251234.871722,2,1.014782,436.161876,0.951200,1
12,1780251234.877166,1780251234.877645,3,1.010556,424.721606,0.941600,1
12,1780251234.882400,1780251234.882875,4,1.005295,479.789267,0.870000,1
12,1780251234.887423,1780251234.887910,5,1.009865,497.094436,0.981000,1
13,1780251235.867177,1780251235.867656,1,1.014078,722.582813,0.956500,1
13,1780251235.872714,1780251235.873198,2,1.013527,324.516512,0.902600,1
13,1780251235.878328,1780251235.878772,3,1.008448,401.229292,0.904100,1
13,1780251235.883070,1780251235.883380,4,1.006066,456.781826,0.915000,1
13,1780251235.887975,1780251235.888529,5,1.009656,459.208125,0.987700,1
14,1780251236.871409,1780251236.871882,1,1.020975,902.374746,0.980000,1
14,1780251236.878070,1780251236.878536,2,1.010361,430.351824,0.925200,1
14,1780251236.883745,1780251236.884337,3,1.006015,452.311229,0.915600,1
14,1780251236.890027,1780251236.890511,4,1.013125,518.406865,0.802000,1
14,1780251236.895294,1780251236.895846,5,1.004359,508.219683,0.968400,1
15,1780251237.879010,1780251237.879516,1,1.024396,778.999428,0.969300,1
15,1780251237.884893,1780251237.885443,2,1.006860,327.031211,0.919700,1
15,1780251237.890268,1780251237.891074,3,1.008553,442.053001,0.903600,1
15,1780251237.896239,1780251237.896717,4,1.014214,468.692929,0.884100,1
15,1780251237.901578,1780251237.902091,5,1.010782,478.164184,0.985900,1
16,1780251238.877578,1780251238.877880,1,1.017639,841.080615,0.975100,1
16,1780251238.881021,1780251238.881312,2,1.013386,352.288504,0.917500,1
16,1780251238.884085,1780251238.884369,3,1.009036,505.813535,0.925900,1
16,1780251238.887372,1780251238.887645,4,1.010457,515.729587,0.807500,1
16,1780251238.896481,1780251238.896947,5,1.006471,470.882821,0.951900,1
17,1780251239.884268,1780251239.884919,1,1.021718,761.301259,0.972400,1
17,1780251239.890728,1780251239.891188,2,1.013292,292.048817,0.950200,1
17,1780251239.895534,1780251239.896095,3,1.015032,475.220747,0.918000,1
17,1780251239.901278,1780251239.901845,4,1.008717,476.841173,0.870800,1
17,1780251239.908984,1780251239.909493,5,1.006961,463.752344,0.965300,1
18,1780251240.888510,1780251240.889152,1,1.018990,918.845406,0.984600,1
18,1780251240.893691,1780251240.894415,2,1.015512,436.686314,0.942300,1
18,1780251240.899139,1780251240.899587,3,1.004628,484.865846,0.957500,1
18,1780251240.904219,1780251240.904650,4,1.011195,479.091193,0.868400,1
18,1780251240.909334,1780251240.910030,5,1.005707,454.049386,0.978800,1
19,1780251241.886358,1780251241.886765,1,1.020846,771.316923,0.971200,1
19,1780251241.892811,1780251241.893279,2,1.018290,388.532699,0.943000,1
19,1780251241.897962,1780251241.898429,3,1.007337,377.050827,0.937700,1
19,1780251241.902985,1780251241.903507,4,1.009323,463.939221,0.895900,1
19,1780251241.908512,1780251241.909107,5,0.998816,463.202985,0.967400,1
20,1780251242.889484,1780251242.890215,1,1.023026,842.547157,0.983100,1
20,1780251242.895434,1780251242.895941,2,1.010800,339.796925,0.976300,1
20,1780251242.901763,1780251242.902491,3,1.011569,499.069911,0.903700,1
20,1780251242.907548,1780251242.908188,4,1.004896,505.969936,0.820800,1
20,1780251242.914359,1780251242.914977,5,1.005977,491.168268,0.957100,1
21,1780251243.895513,1780251243.896050,1,1.023275,827.009089,0.983000,1
21,1780251243.900901,1780251243.901372,2,1.014266,412.195352,0.969600,1
21,1780251243.907367,1780251243.907868,3,1.011049,380.295126,0.937500,1
21,1780251243.913086,1780251243.913556,4,1.010528,482.891982,0.864100,1
21,1780251243.918329,1780251243.918943,5,1.006552,496.986655,0.956100,1
22,1780251244.891569,1780251244.892048,1,1.022391,855.912066,0.978000,1
22,1780251244.896269,1780251244.896566,2,1.009735,403.766551,0.943200,1
22,1780251244.901266,1780251244.901588,3,1.011145,467.225944,0.927700,1
22,1780251244.905409,1780251244.905806,4,1.018236,493.413075,0.839700,1
22,1780251244.909830,1780251244.910442,5,1.009744,459.668095,0.963000,1
23,1780251245.897675,1780251245.897963,1,1.020397,766.724175,0.982700,1
23,1780251245.901031,1780251245.901307,2,1.011667,270.357968,0.974300,1
23,1780251245.905411,1780251245.905770,3,1.004418,468.035733,0.954800,1
23,1780251245.917656,1780251245.918200,4,1.011845,468.455262,0.884700,1
23,1780251245.924734,1780251245.925082,5,1.003920,479.961458,0.952300,1
24,1780251246.897107,1780251246.897599,1,1.023799,769.419837,0.976000,1
24,1780251246.903510,1780251246.904049,2,1.015419,404.760060,0.975800,1
24,1780251246.909469,1780251246.910136,3,1.009003,350.522873,0.923700,1
24,1780251246.915120,1780251246.915558,4,1.012298,447.250801,0.934500,1
24,1780251246.920433,1780251246.920956,5,1.004329,457.707164,0.980400,1
25,1780251247.919837,1780251247.920152,1,1.022964,827.699915,0.970700,1
25,1780251247.927246,1780251247.927800,2,1.004084,418.709948,0.910300,1
25,1780251247.932712,1780251247.933237,3,1.008711,414.862424,0.929500,1
25,1780251247.937686,1780251247.938130,4,1.011199,471.714947,0.882500,1
25,1780251247.943468,1780251247.943993,5,1.011494,462.103122,0.984900,1
26,1780251248.918481,1780251248.918857,1,1.023409,781.664374,0.971000,1
26,1780251248.924614,1780251248.925128,2,1.015357,354.829063,0.916900,1
26,1780251248.930048,1780251248.930549,3,1.006768,420.561192,0.945700,1
26,1780251248.935020,1780251248.935327,4,1.010346,476.419618,0.873000,1
26,1780251248.940302,1780251248.940956,5,1.011273,470.804845,0.962500,1
27,1780251249.921324,1780251249.921809,1,1.013110,844.385880,0.977800,1
27,1780251249.926515,1780251249.926971,2,1.004438,437.028175,0.952000,1
