metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,18.31,8.86
RTT,system,h3,h4,22.44,3.72
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,0.67,0
Throughput,system,h3,h4,5.44,0
