metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.5,2.77
RTT,system,h3,h4,0.2,0.52
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.62,0.75
Throughput,system,h3,h4,5.03,0.06
