metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.28,1.05
RTT,system,h3,h4,0.18,0.45
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.8,0.59
Throughput,system,h3,h4,5.09,0.04
