cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
34,1780259953.860011,3,3,1.009681,73.868584,1
34,1780259953.860011,4,4,1.010000,495.343783,1
34,1780259953.860011,5,,1.006681,0.000000,1
35,1780259954.862384,1,1,1.020000,955.663818,1
35,1780259954.862384,2,2,1.010377,532.763915,1
35,1780259954.862384,3,3,1.008740,152.274175,1
35,1780259954.862384,4,4,1.010000,508.900461,1
35,1780259954.862384,5,,1.006658,0.000000,1
36,1780259955.897186,1,1,1.020000,777.941367,1
36,1780259955.897186,2,2,1.010233,419.157457,1
36,1780259955.897186,3,3,1.008509,150.031976,1
36,1780259955.897186,4,4,1.010000,464.222062,1
36,1780259955.897186,5,,1.007575,0.000000,1
37,1780259956.900164,1,1,1.020000,776.127518,1
37,1780259956.900164,2,2,1.011091,463.162504,1
37,1780259956.900164,3,3,1.009145,127.356867,1
37,1780259956.900164,4,4,1.010000,496.526714,1
37,1780259956.900164,5,,1.007419,0.000000,1
38,1780259957.902853,1,1,1.020000,778.029858,1
38,1780259957.902853,2,2,1.010921,421.775118,1
38,1780259957.902853,3,3,1.009174,131.297105,1
38,1780259957.902853,4,4,1.010000,511.770877,1
38,1780259957.902853,5,,1.006922,0.000000,1
39,1780259958.905060,1,1,1.020000,737.711068,1
39,1780259958.905060,2,2,1.011151,377.393361,1
39,1780259958.905060,3,3,1.009485,79.475185,1
39,1780259958.905060,4,4,1.010000,472.011674,1
39,1780259958.905060,5,,1.007390,0.000000,1
40,1780259959.907091,1,1,1.020000,686.505409,1
40,1780259959.907091,2,2,1.011586,396.954152,1
40,1780259959.907091,3,3,1.009576,83.239188,1
40,1780259959.907091,4,4,1.010000,485.743167,1
40,1780259959.907091,5,,1.007153,0.000000,1
41,1780259960.910523,1,1,1.020000,822.430607,1
41,1780259960.910523,2,2,1.010177,508.585137,1
41,1780259960.910523,3,3,1.008230,180.794544,1
41,1780259960.910523,4,4,1.010000,483.794304,1
41,1780259960.910523,5,,1.007121,0.000000,1
42,1780259961.912544,1,1,1.020000,769.588181,1
42,1780259961.912544,2,2,1.011077,431.399427,1
42,1780259961.912544,3,3,1.009391,75.975257,1
42,1780259961.912544,4,4,1.010000,463.002801,1
