metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.57,1.31
RTT,system,h3,h4,0.49,1.24
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.61,0.09
Throughput,system,h3,h4,4.66,0.17
