metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.87,4.43
RTT,system,h3,h4,1.58,5.5
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,3.02,0.08
Throughput,system,h3,h4,3.02,0.04
