timestamp,run,layer,source,destination,packet_loss_percent
2026-03-12 08:48:50.470798,1,field,h2,h3,0.0
2026-03-12 08:49:12.066725,2,field,h2,h3,0.0
2026-03-12 08:49:34.532677,3,field,h2,h3,0.0
2026-03-12 08:49:54.822593,4,field,h2,h3,0.0
2026-03-12 08:50:15.324429,5,field,h2,h3,0.0
2026-03-12 08:50:35.694927,1,system,h3,h4,0.0
2026-03-12 08:50:56.067508,2,system,h3,h4,0.0
2026-03-12 08:51:16.675701,3,system,h3,h4,0.0
2026-03-12 08:51:37.030432,4,system,h3,h4,0.0
2026-03-12 08:51:57.382710,5,system,h3,h4,0.0
