timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 13:51:19.059368,1,field,h2,h3,5.0
2026-04-15 13:51:26.144587,2,field,h2,h3,5.24
2026-04-15 13:51:33.362484,3,field,h2,h3,5.1
2026-04-15 13:51:40.670128,4,field,h2,h3,5.23
2026-04-15 13:51:47.749954,5,field,h2,h3,5.02
2026-04-15 13:51:55.053153,1,system,h3,h4,5.06
2026-04-15 13:52:02.192588,2,system,h3,h4,5.22
2026-04-15 13:52:09.340798,3,system,h3,h4,4.95
2026-04-15 13:52:16.525712,4,system,h3,h4,5.13
2026-04-15 13:52:23.645256,5,system,h3,h4,5.19
