timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 13:48:06.137037,1,field,h2,h3,0.0
2026-04-15 13:48:26.748368,2,field,h2,h3,0.0
2026-04-15 13:48:47.381706,3,field,h2,h3,0.0
2026-04-15 13:49:07.864019,4,field,h2,h3,0.0
2026-04-15 13:49:28.598401,5,field,h2,h3,0.0
2026-04-15 13:49:49.221550,1,system,h3,h4,0.0
2026-04-15 13:50:09.777756,2,system,h3,h4,0.0
2026-04-15 13:50:30.389768,3,system,h3,h4,0.0
2026-04-15 13:50:51.217711,4,system,h3,h4,0.0
2026-04-15 13:51:11.669510,5,system,h3,h4,0.0
