metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.21,0.61
RTT,system,h3,h4,0.36,1.96
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,3.06,0.08
Throughput,system,h3,h4,4.76,0.06
