dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
heavy,1,4,3314.562,20.8623,3290.2181,3340.8959
heavy,2,3,3692.282,18.6876,3672.0021,3708.807
heavy,3,2,3879.3535,53.1441,3841.7749,3916.9321
