metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.26,0.48
RTT,system,h3,h4,0.36,0.62
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,4.69,0.02
Throughput,system,h3,h4,4.5,0.11
