metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.48,1.45
RTT,system,h3,h4,0.3,0.72
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.93,0
Throughput,system,h3,h4,5.02,0
