metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.16,0.12
RTT,system,h3,h4,0.13,0.09
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.94,0
Throughput,system,h3,h4,4.8,0
