metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.27,0.7
RTT,system,h3,h4,0.31,0.86
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,5.02,0.13
Throughput,system,h3,h4,4.9,0.13
