timestamp,run,layer,source,destination,packet_loss_percent
2026-05-09 22:53:42.557604,1,field,h2,h3,0.0
2026-05-09 22:54:03.007642,2,field,h2,h3,0.0
2026-05-09 22:54:23.452883,3,field,h2,h3,0.0
2026-05-09 22:54:43.901603,1,system,h3,h4,0.0
2026-05-09 22:55:04.380491,2,system,h3,h4,0.0
2026-05-09 22:55:24.831547,3,system,h3,h4,0.0
