scenario (-),iteration (-),cycle_id (-),bus (-),v_field (pu),v_dt (pu),drift_signed (pu),drift_abs (pu),drift (%)
baseline,iteration_3,21,2,1.010783,1.010795,0.000012,0.000012,0.001187
baseline,iteration_3,21,3,1.009160,1.009173,0.000013,0.000013,0.001288
baseline,iteration_3,21,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,21,5,1.006730,1.006730,0.000000,0.000000,0.000000
baseline,iteration_3,22,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,22,2,1.010142,1.010126,-0.000016,0.000016,0.001584
baseline,iteration_3,22,3,1.008437,1.008424,-0.000013,0.000013,0.001289
baseline,iteration_3,22,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,22,5,1.007068,1.007065,-0.000003,0.000003,0.000298
baseline,iteration_3,23,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,23,2,1.011480,1.011496,0.000016,0.000016,0.001582
baseline,iteration_3,23,3,1.009375,1.009400,0.000025,0.000025,0.002477
baseline,iteration_3,23,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,23,5,1.006774,1.006801,0.000027,0.000027,0.002682
baseline,iteration_3,24,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,24,2,1.011014,1.011022,0.000008,0.000008,0.000791
baseline,iteration_3,24,3,1.009354,1.009366,0.000012,0.000012,0.001189
baseline,iteration_3,24,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,24,5,1.007401,1.007396,-0.000005,0.000005,0.000496
baseline,iteration_3,25,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,25,2,1.010008,1.010017,0.000009,0.000009,0.000891
baseline,iteration_3,25,3,1.008547,1.008556,0.000009,0.000009,0.000892
baseline,iteration_3,25,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,25,5,1.007456,1.007456,0.000000,0.000000,0.000000
baseline,iteration_3,26,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,26,2,1.010601,1.010590,-0.000011,0.000011,0.001088
baseline,iteration_3,26,3,1.008965,1.008957,-0.000008,0.000008,0.000793
baseline,iteration_3,26,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,26,5,1.006989,1.006980,-0.000009,0.000009,0.000894
baseline,iteration_3,27,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,27,2,1.010247,1.010261,0.000014,0.000014,0.001386
baseline,iteration_3,27,3,1.008696,1.008708,0.000012,0.000012,0.001190
baseline,iteration_3,27,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,27,5,1.006955,1.006943,-0.000012,0.000012,0.001192
baseline,iteration_3,28,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,28,2,1.010945,1.010919,-0.000026,0.000026,0.002572
baseline,iteration_3,28,3,1.009110,1.009094,-0.000016,0.000016,0.001586
baseline,iteration_3,28,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,28,5,1.007283,1.007290,0.000007,0.000007,0.000695
baseline,iteration_3,29,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,29,2,1.010715,1.010720,0.000005,0.000005,0.000495
baseline,iteration_3,29,3,1.008480,1.008487,0.000007,0.000007,0.000694
baseline,iteration_3,29,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,29,5,1.007264,1.007254,-0.000010,0.000010,0.000993
baseline,iteration_3,30,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,30,2,1.010400,1.010408,0.000008,0.000008,0.000792
baseline,iteration_3,30,3,1.008523,1.008539,0.000016,0.000016,0.001586
baseline,iteration_3,30,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,30,5,1.007302,1.007296,-0.000006,0.000006,0.000596
baseline,iteration_3,31,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,31,2,1.010236,1.010261,0.000025,0.000025,0.002475
baseline,iteration_3,31,3,1.008856,1.008872,0.000016,0.000016,0.001586
baseline,iteration_3,31,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,31,5,1.007032,1.007049,0.000017,0.000017,0.001688
baseline,iteration_3,32,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,32,2,1.009841,1.009881,0.000040,0.000040,0.003961
baseline,iteration_3,32,3,1.007884,1.007923,0.000039,0.000039,0.003869
baseline,iteration_3,32,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,32,5,1.006940,1.006970,0.000030,0.000030,0.002979
baseline,iteration_3,33,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,33,2,1.010152,1.010134,-0.000018,0.000018,0.001782
baseline,iteration_3,33,3,1.008756,1.008742,-0.000014,0.000014,0.001388
baseline,iteration_3,33,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,33,5,1.006888,1.006904,0.000016,0.000016,0.001589
baseline,iteration_3,34,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,34,2,1.011566,1.011575,0.000009,0.000009,0.000890
baseline,iteration_3,34,3,1.009675,1.009681,0.000006,0.000006,0.000594
baseline,iteration_3,34,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,34,5,1.006680,1.006681,0.000001,0.000001,0.000099
baseline,iteration_3,35,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,35,2,1.010380,1.010377,-0.000003,0.000003,0.000297
baseline,iteration_3,35,3,1.008737,1.008740,0.000003,0.000003,0.000297
baseline,iteration_3,35,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,35,5,1.006653,1.006658,0.000005,0.000005,0.000497
baseline,iteration_3,36,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,36,2,1.010224,1.010233,0.000009,0.000009,0.000891
baseline,iteration_3,36,3,1.008492,1.008509,0.000017,0.000017,0.001686
baseline,iteration_3,36,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,36,5,1.007559,1.007575,0.000016,0.000016,0.001588
baseline,iteration_3,37,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,37,2,1.011107,1.011091,-0.000016,0.000016,0.001582
baseline,iteration_3,37,3,1.009155,1.009145,-0.000010,0.000010,0.000991
baseline,iteration_3,37,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,37,5,1.007413,1.007419,0.000006,0.000006,0.000596
baseline,iteration_3,38,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,38,2,1.010904,1.010921,0.000017,0.000017,0.001682
baseline,iteration_3,38,3,1.009165,1.009174,0.000009,0.000009,0.000892
baseline,iteration_3,38,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,38,5,1.006949,1.006922,-0.000027,0.000027,0.002681
baseline,iteration_3,39,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,39,2,1.011185,1.011151,-0.000034,0.000034,0.003362
baseline,iteration_3,39,3,1.009516,1.009485,-0.000031,0.000031,0.003071
baseline,iteration_3,39,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,39,5,1.007365,1.007390,0.000025,0.000025,0.002482
baseline,iteration_3,40,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,40,2,1.011585,1.011586,0.000001,0.000001,0.000099
baseline,iteration_3,40,3,1.009579,1.009576,-0.000003,0.000003,0.000297
baseline,iteration_3,40,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,40,5,1.007157,1.007153,-0.000004,0.000004,0.000397
baseline,iteration_3,41,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,41,2,1.010168,1.010177,0.000009,0.000009,0.000891
baseline,iteration_3,41,3,1.008223,1.008230,0.000007,0.000007,0.000694
baseline,iteration_3,41,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,41,5,1.007106,1.007121,0.000015,0.000015,0.001489
baseline,iteration_3,42,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,42,2,1.011072,1.011077,0.000005,0.000005,0.000495
baseline,iteration_3,42,3,1.009384,1.009391,0.000007,0.000007,0.000693
baseline,iteration_3,42,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,42,5,1.007317,1.007319,0.000002,0.000002,0.000199
baseline,iteration_3,43,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,43,2,1.010581,1.010586,0.000005,0.000005,0.000495
baseline,iteration_3,43,3,1.008642,1.008655,0.000013,0.000013,0.001289
baseline,iteration_3,43,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,43,5,1.007317,1.007314,-0.000003,0.000003,0.000298
baseline,iteration_3,44,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,44,2,1.011134,1.011117,-0.000017,0.000017,0.001681
baseline,iteration_3,44,3,1.009235,1.009214,-0.000021,0.000021,0.002081
baseline,iteration_3,44,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,44,5,1.006964,1.006960,-0.000004,0.000004,0.000397
baseline,iteration_3,45,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,45,2,1.011279,1.011254,-0.000025,0.000025,0.002472
baseline,iteration_3,45,3,1.009287,1.009262,-0.000025,0.000025,0.002477
baseline,iteration_3,45,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,45,5,1.006820,1.006793,-0.000027,0.000027,0.002682
baseline,iteration_3,46,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,46,2,1.010697,1.010697,0.000000,0.000000,0.000000
baseline,iteration_3,46,3,1.009152,1.009157,0.000005,0.000005,0.000495
baseline,iteration_3,46,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,46,5,1.006612,1.006603,-0.000009,0.000009,0.000894
baseline,iteration_3,47,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,47,2,1.010244,1.010243,-0.000001,0.000001,0.000099
baseline,iteration_3,47,3,1.008820,1.008817,-0.000003,0.000003,0.000297
baseline,iteration_3,47,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,47,5,1.006876,1.006890,0.000014,0.000014,0.001390
baseline,iteration_3,48,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,48,2,1.011352,1.011349,-0.000003,0.000003,0.000297
baseline,iteration_3,48,3,1.009500,1.009497,-0.000003,0.000003,0.000297
baseline,iteration_3,48,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,48,5,1.006728,1.006705,-0.000023,0.000023,0.002285
baseline,iteration_3,49,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,49,2,1.010523,1.010537,0.000014,0.000014,0.001385
baseline,iteration_3,49,3,1.009051,1.009053,0.000002,0.000002,0.000198
baseline,iteration_3,49,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,49,5,1.006600,1.006613,0.000013,0.000013,0.001291
baseline,iteration_3,50,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,50,2,1.011055,1.011072,0.000017,0.000017,0.001681
baseline,iteration_3,50,3,1.009551,1.009560,0.000009,0.000009,0.000891
baseline,iteration_3,50,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,50,5,1.006800,1.006775,-0.000025,0.000025,0.002483
baseline,iteration_3,51,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,51,2,1.010156,1.010183,0.000027,0.000027,0.002673
baseline,iteration_3,51,3,1.008412,1.008431,0.000019,0.000019,0.001884
baseline,iteration_3,51,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,51,5,1.007523,1.007532,0.000009,0.000009,0.000893
baseline,iteration_3,52,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,52,2,1.009972,1.009978,0.000006,0.000006,0.000594
baseline,iteration_3,52,3,1.008332,1.008331,-0.000001,0.000001,0.000099
baseline,iteration_3,52,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,52,5,1.006879,1.006909,0.000030,0.000030,0.002980
baseline,iteration_3,53,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,53,2,1.011230,1.011247,0.000017,0.000017,0.001681
baseline,iteration_3,53,3,1.009288,1.009306,0.000018,0.000018,0.001783
baseline,iteration_3,53,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,53,5,1.006668,1.006657,-0.000011,0.000011,0.001093
baseline,iteration_3,54,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,54,2,1.010700,1.010698,-0.000002,0.000002,0.000198
baseline,iteration_3,54,3,1.008995,1.008990,-0.000005,0.000005,0.000496
baseline,iteration_3,54,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,54,5,1.007167,1.007179,0.000012,0.000012,0.001191
baseline,iteration_3,55,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,55,2,1.011479,1.011484,0.000005,0.000005,0.000494
baseline,iteration_3,55,3,1.009490,1.009494,0.000004,0.000004,0.000396
baseline,iteration_3,55,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,55,5,1.007307,1.007300,-0.000007,0.000007,0.000695
baseline,iteration_3,56,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,56,2,1.011755,1.011741,-0.000014,0.000014,0.001384
baseline,iteration_3,56,3,1.009887,1.009867,-0.000020,0.000020,0.001980
baseline,iteration_3,56,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,56,5,1.007290,1.007278,-0.000012,0.000012,0.001191
baseline,iteration_3,57,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,57,2,1.009520,1.009528,0.000008,0.000008,0.000792
baseline,iteration_3,57,3,1.007828,1.007833,0.000005,0.000005,0.000496
baseline,iteration_3,57,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,57,5,1.007263,1.007265,0.000002,0.000002,0.000199
baseline,iteration_3,58,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,58,2,1.011112,1.011108,-0.000004,0.000004,0.000396
baseline,iteration_3,58,3,1.009099,1.009091,-0.000008,0.000008,0.000793
baseline,iteration_3,58,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,58,5,1.006718,1.006700,-0.000018,0.000018,0.001788
baseline,iteration_3,59,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,59,2,1.011341,1.011340,-0.000001,0.000001,0.000099
baseline,iteration_3,59,3,1.009600,1.009599,-0.000001,0.000001,0.000099
baseline,iteration_3,59,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,59,5,1.006697,1.006683,-0.000014,0.000014,0.001391
baseline,iteration_3,60,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,60,2,1.009983,1.009966,-0.000017,0.000017,0.001683
baseline,iteration_3,60,3,1.008223,1.008200,-0.000023,0.000023,0.002281
baseline,iteration_3,60,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,60,5,1.006583,1.006573,-0.000010,0.000010,0.000993
baseline,iteration_3,61,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,61,2,1.009197,1.009196,-0.000001,0.000001,0.000099
baseline,iteration_3,61,3,1.007604,1.007602,-0.000002,0.000002,0.000198
baseline,iteration_3,61,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,61,5,1.007112,1.007109,-0.000003,0.000003,0.000298
baseline,iteration_3,62,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,62,2,1.010088,1.010114,0.000026,0.000026,0.002574
baseline,iteration_3,62,3,1.008496,1.008521,0.000025,0.000025,0.002479
baseline,iteration_3,62,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,62,5,1.007136,1.007136,0.000000,0.000000,0.000000
baseline,iteration_3,63,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,63,2,1.011701,1.011687,-0.000014,0.000014,0.001384
baseline,iteration_3,63,3,1.010018,1.010009,-0.000009,0.000009,0.000891
baseline,iteration_3,63,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,63,5,1.007217,1.007229,0.000012,0.000012,0.001191
baseline,iteration_3,64,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,64,2,1.010355,1.010338,-0.000017,0.000017,0.001683
baseline,iteration_3,64,3,1.008601,1.008595,-0.000006,0.000006,0.000595
baseline,iteration_3,64,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,64,5,1.006842,1.006846,0.000004,0.000004,0.000397
baseline,iteration_3,65,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,65,2,1.010836,1.010828,-0.000008,0.000008,0.000791
baseline,iteration_3,65,3,1.008765,1.008755,-0.000010,0.000010,0.000991
baseline,iteration_3,65,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,65,5,1.007024,1.007037,0.000013,0.000013,0.001291
baseline,iteration_3,66,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,66,2,1.010806,1.010800,-0.000006,0.000006,0.000594
baseline,iteration_3,66,3,1.009175,1.009167,-0.000008,0.000008,0.000793
baseline,iteration_3,66,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,66,5,1.007050,1.007066,0.000016,0.000016,0.001589
baseline,iteration_3,67,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,67,2,1.010442,1.010439,-0.000003,0.000003,0.000297
baseline,iteration_3,67,3,1.008910,1.008909,-0.000001,0.000001,0.000099
baseline,iteration_3,67,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,67,5,1.007041,1.007043,0.000002,0.000002,0.000199
baseline,iteration_3,68,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,68,2,1.010615,1.010619,0.000004,0.000004,0.000396
baseline,iteration_3,68,3,1.008759,1.008763,0.000004,0.000004,0.000397
baseline,iteration_3,68,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,68,5,1.006833,1.006843,0.000010,0.000010,0.000993
baseline,iteration_3,69,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,69,2,1.010585,1.010596,0.000011,0.000011,0.001088
baseline,iteration_3,69,3,1.008496,1.008514,0.000018,0.000018,0.001785
baseline,iteration_3,69,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,69,5,1.007183,1.007208,0.000025,0.000025,0.002482
baseline,iteration_3,70,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,70,2,1.010233,1.010199,-0.000034,0.000034,0.003366
baseline,iteration_3,70,3,1.008603,1.008570,-0.000033,0.000033,0.003272
baseline,iteration_3,70,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,70,5,1.006759,1.006750,-0.000009,0.000009,0.000894
baseline,iteration_3,71,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,71,2,1.010823,1.010829,0.000006,0.000006,0.000594
baseline,iteration_3,71,3,1.009137,1.009148,0.000011,0.000011,0.001090
baseline,iteration_3,71,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,71,5,1.006585,1.006588,0.000003,0.000003,0.000298
baseline,iteration_3,72,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,72,2,1.011175,1.011173,-0.000002,0.000002,0.000198
baseline,iteration_3,72,3,1.009483,1.009484,0.000001,0.000001,0.000099
baseline,iteration_3,72,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,72,5,1.006837,1.006828,-0.000009,0.000009,0.000894
baseline,iteration_3,73,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,73,2,1.010007,1.010843,0.000836,0.000836,0.082772
baseline,iteration_3,73,3,1.008517,1.009022,0.000505,0.000505,0.050074
baseline,iteration_3,73,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,73,5,1.007106,1.007104,-0.000002,0.000002,0.000199
baseline,iteration_3,74,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,74,2,1.011116,1.011133,0.000017,0.000017,0.001681
baseline,iteration_3,74,3,1.008945,1.008963,0.000018,0.000018,0.001784
baseline,iteration_3,74,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,74,5,1.007435,1.007432,-0.000003,0.000003,0.000298
baseline,iteration_3,75,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,75,2,1.011179,1.011155,-0.000024,0.000024,0.002373
baseline,iteration_3,75,3,1.009415,1.009394,-0.000021,0.000021,0.002080
baseline,iteration_3,75,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,75,5,1.007453,1.007446,-0.000007,0.000007,0.000695
baseline,iteration_3,76,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,76,2,1.010079,1.010047,-0.000032,0.000032,0.003168
baseline,iteration_3,76,3,1.008419,1.008385,-0.000034,0.000034,0.003372
baseline,iteration_3,76,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,76,5,1.006966,1.006956,-0.000010,0.000010,0.000993
baseline,iteration_3,77,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,77,2,1.010281,1.010320,0.000039,0.000039,0.003860
baseline,iteration_3,77,3,1.008569,1.008590,0.000021,0.000021,0.002082
baseline,iteration_3,77,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,77,5,1.007233,1.007239,0.000006,0.000006,0.000596
baseline,iteration_3,78,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,78,2,1.010075,1.010075,0.000000,0.000000,0.000000
baseline,iteration_3,78,3,1.008354,1.008354,0.000000,0.000000,0.000000
baseline,iteration_3,78,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,78,5,1.007014,1.007012,-0.000002,0.000002,0.000199
baseline,iteration_3,79,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,79,2,1.010502,1.010499,-0.000003,0.000003,0.000297
baseline,iteration_3,79,3,1.008602,1.008603,0.000001,0.000001,0.000099
baseline,iteration_3,79,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,79,5,1.007288,1.007290,0.000002,0.000002,0.000199
baseline,iteration_3,80,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,80,2,1.010079,1.009741,-0.000338,0.000338,0.033463
baseline,iteration_3,80,3,1.008626,1.008147,-0.000479,0.000479,0.047490
baseline,iteration_3,80,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,80,5,1.006838,1.007290,0.000452,0.000452,0.044893
baseline,iteration_3,81,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,81,2,1.011147,1.010074,-0.001073,0.001073,0.106117
baseline,iteration_3,81,3,1.009248,1.008623,-0.000625,0.000625,0.061927
baseline,iteration_3,81,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,81,5,1.007165,1.007162,-0.000003,0.000003,0.000298
baseline,iteration_3,82,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,82,2,1.010649,1.010676,0.000027,0.000027,0.002672
baseline,iteration_3,82,3,1.009109,1.009125,0.000016,0.000016,0.001586
baseline,iteration_3,82,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,82,5,1.007385,1.007162,-0.000223,0.000223,0.022137
baseline,iteration_3,83,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,83,2,1.010962,1.010687,-0.000275,0.000275,0.027202
baseline,iteration_3,83,3,1.009107,1.009132,0.000025,0.000025,0.002477
baseline,iteration_3,83,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,83,5,1.006916,1.006904,-0.000012,0.000012,0.001192
baseline,iteration_3,84,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,84,2,1.010561,1.010564,0.000003,0.000003,0.000297
baseline,iteration_3,84,3,1.009026,1.009030,0.000004,0.000004,0.000396
baseline,iteration_3,84,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,84,5,1.006812,1.006824,0.000012,0.000012,0.001192
baseline,iteration_3,85,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,85,2,1.009966,1.009978,0.000012,0.000012,0.001188
baseline,iteration_3,85,3,1.008170,1.008176,0.000006,0.000006,0.000595
baseline,iteration_3,85,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,85,5,1.007122,1.007106,-0.000016,0.000016,0.001589
baseline,iteration_3,86,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,86,2,1.011547,1.011526,-0.000021,0.000021,0.002076
baseline,iteration_3,86,3,1.009634,1.009613,-0.000021,0.000021,0.002080
baseline,iteration_3,86,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,86,5,1.007091,1.007091,0.000000,0.000000,0.000000
baseline,iteration_3,88,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,88,2,1.010997,1.010881,-0.000116,0.000116,0.011474
baseline,iteration_3,88,3,1.009405,1.009221,-0.000184,0.000184,0.018229
baseline,iteration_3,88,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,88,5,1.006742,1.007091,0.000349,0.000349,0.034666
baseline,iteration_3,89,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,89,2,1.010760,1.010773,0.000013,0.000013,0.001286
baseline,iteration_3,89,3,1.009012,1.009026,0.000014,0.000014,0.001387
baseline,iteration_3,89,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,89,5,1.006642,1.006763,0.000121,0.000121,0.012020
baseline,iteration_3,90,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,90,2,1.011348,1.011040,-0.000308,0.000308,0.030454
baseline,iteration_3,90,3,1.009612,1.009193,-0.000419,0.000419,0.041501
baseline,iteration_3,90,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,90,5,1.006793,1.006634,-0.000159,0.000159,0.015793
baseline,iteration_3,91,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,91,2,1.010959,1.011042,0.000083,0.000083,0.008210
baseline,iteration_3,91,3,1.009325,1.009428,0.000103,0.000103,0.010205
baseline,iteration_3,91,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,91,5,1.006652,1.006803,0.000151,0.000151,0.015000
baseline,iteration_3,92,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_3,92,2,1.010849,1.010851,0.000002,0.000002,0.000198
baseline,iteration_3,92,3,1.009057,1.009060,0.000003,0.000003,0.000297
baseline,iteration_3,92,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_3,92,5,1.007248,1.007248,0.000000,0.000000,0.000000
