metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.68,1.0
RTT,system,h3,h4,19592.57,5681.75
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,65.0,0
