timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 15:49:58.873483,1,field,h2,h3,0.0
2026-04-15 15:50:19.317456,2,field,h2,h3,0.0
2026-04-15 15:50:39.768826,3,field,h2,h3,0.0
2026-04-15 15:51:00.213420,4,field,h2,h3,0.0
2026-04-15 15:51:20.725037,5,field,h2,h3,0.0
2026-04-15 15:51:41.177841,1,system,h3,h4,0.0
2026-04-15 15:52:01.625371,2,system,h3,h4,0.0
2026-04-15 15:52:22.104926,3,system,h3,h4,0.0
2026-04-15 15:52:42.585346,4,system,h3,h4,0.0
2026-04-15 15:53:03.029833,5,system,h3,h4,0.0
