metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.13,0.45
RTT,system,h3,h4,0.12,0.42
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,3.8,0.13
Throughput,system,h3,h4,4.84,0.12
