metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.77,3.2
RTT,system,h3,h4,0.44,1.48
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,2.93,0.14
Throughput,system,h3,h4,4.68,0.11
