timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-07 23:24:56.363668,1,field,h2,h3,3.93,ok,,
2026-05-07 23:25:03.669018,1,system,h3,h4,4.39,ok,,
