timestamp,run,layer,source,destination,packet_loss_percent
2026-03-05 08:08:33.006015,1,field,h2,h3,0.0
2026-03-05 08:08:53.376782,2,field,h2,h3,0.0
2026-03-05 08:09:13.866635,3,field,h2,h3,0.0
2026-03-05 08:09:34.367188,4,field,h2,h3,0.0
2026-03-05 08:09:55.006347,5,field,h2,h3,0.0
2026-03-05 08:10:15.550071,1,system,h3,h4,0.0
2026-03-05 08:10:36.189382,2,system,h3,h4,0.0
2026-03-05 08:10:56.671088,3,system,h3,h4,0.0
2026-03-05 08:11:17.117832,4,system,h3,h4,0.0
2026-03-05 08:11:37.949248,5,system,h3,h4,0.0
