metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,55.9,39.49
RTT,system,h3,h4,49.86,24.25
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,0.78,0.1
Throughput,system,h3,h4,4.91,0.42
