timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-08 00:21:08.619920,1,field,h2,h3,0.67,ok,,
2026-05-08 00:21:17.139686,1,system,h3,h4,5.44,ok,,
