metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.93,2.16
RTT,system,h3,h4,0.68,1.39
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,5.11,0
Throughput,system,h3,h4,4.92,0
