cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
11,1780260313.534966,1780260313.535556,1,1.021000,754.100000,142.497122,34.831998,1
11,1780260313.536680,1780260313.543706,2,1.010000,401.600000,74.065370,22.057981,1
11,1780260313.544262,1780260313.544464,3,1.005000,479.133333,85.505032,33.253226,1
11,1780260313.544786,1780260313.544930,4,1.013000,524.400000,80.330750,61.567279,1
11,1780260313.545280,1780260313.545426,5,1.010000,466.800000,86.332459,24.810197,1
13,1780260314.535035,1780260314.535206,1,1.021000,754.100000,142.497122,34.831998,1
13,1780260314.535999,1780260314.536240,2,1.005000,436.500000,79.501526,25.790777,1
13,1780260314.536688,1780260314.536897,3,1.010000,479.133333,85.930430,33.418664,1
13,1780260314.539595,1780260314.540007,4,1.013000,524.400000,80.330750,61.567279,1
13,1780260314.541111,1780260314.541546,5,1.010000,466.800000,86.332459,24.810197,1
13,1780260315.555636,1780260315.555784,1,1.021000,754.100000,142.497122,34.831998,1
13,1780260315.556257,1780260315.556400,2,1.005000,436.500000,79.501526,25.790777,1
13,1780260315.556644,1780260315.556806,3,1.010000,400.433333,69.666081,32.927525,1
13,1780260315.557035,1780260315.557141,4,1.004000,451.733333,79.066089,34.862860,1
13,1780260315.557379,1780260315.557478,5,1.010000,466.800000,86.332459,24.810197,1
14,1780260316.558904,1780260316.559047,1,1.021000,754.100000,142.497122,34.831998,1
14,1780260316.559522,1780260316.559670,2,1.005000,436.500000,79.501526,25.790777,1
14,1780260316.559960,1780260316.560325,3,1.010000,400.433333,69.666081,32.927525,1
14,1780260316.560690,1780260316.560827,4,1.004000,451.733333,79.066089,34.862860,1
14,1780260316.561163,1780260316.561314,5,1.004000,506.066667,93.745308,24.143208,1
16,1780260317.560181,1780260317.560315,1,1.020000,859.366667,153.144472,66.616543,1
16,1780260317.560752,1780260317.560926,2,1.005000,436.500000,79.501526,25.790777,1
16,1780260317.561223,1780260317.561345,3,1.010000,400.433333,69.666081,32.927525,1
16,1780260317.561750,1780260317.561910,4,1.004000,451.733333,79.066089,34.862860,1
16,1780260317.562210,1780260317.562332,5,1.004000,506.066667,93.745308,24.143208,1
17,1780260318.560645,1780260318.560795,1,1.020000,859.366667,153.144472,66.616543,1
17,1780260318.561354,1780260318.561506,2,1.008000,351.000000,61.848196,26.811161,1
17,1780260318.561935,1780260318.562101,3,1.006000,476.566667,83.852813,36.224816,1
17,1780260318.562640,1780260318.562781,4,1.004000,451.733333,79.066089,34.862860,1
17,1780260318.563183,1780260318.563342,5,1.004000,506.066667,93.745308,24.143208,1
18,1780260319.560852,1780260319.561006,1,1.020000,859.366667,153.144472,66.616543,1
18,1780260319.568003,1780260319.568440,2,1.008000,351.000000,61.848196,26.811161,1
18,1780260319.569011,1780260319.569139,3,1.006000,476.566667,83.852813,36.224816,0
18,1780260319.569456,1780260319.569578,4,1.008000,472.800000,80.277290,42.431170,0
18,1780260319.569900,1780260319.570019,5,1.008000,481.833333,91.231235,15.484562,0
19,1780260320.562246,1780260320.562399,1,1.018000,0.000000,153.144472,66.616543,0
19,1780260320.563316,1780260320.563521,2,1.008000,351.000000,61.848196,26.811161,1
19,1780260320.563846,1780260320.563970,3,1.006000,476.566667,83.852813,36.224816,0
19,1780260320.564388,1780260320.564564,4,1.008000,472.800000,80.277290,42.431170,0
19,1780260320.564868,1780260320.565021,5,1.008000,481.833333,91.231235,15.484562,0
20,1780260321.563995,1780260321.564122,1,1.017000,0.366667,153.144472,66.616543,0
20,1780260321.564535,1780260321.564667,2,1.008000,439.366667,79.511536,28.247955,0
20,1780260321.564922,1780260321.565037,3,1.005000,488.133333,89.494557,26.958963,0
20,1780260321.565281,1780260321.565398,4,1.003000,469.733333,79.360979,41.946847,1
20,1780260321.565687,1780260321.565804,5,1.006000,481.866667,91.056519,15.454908,1
21,1780260322.567890,1780260322.568028,1,1.021000,0.000000,153.144472,66.616543,0
21,1780260322.568502,1780260322.568644,2,1.002000,442.866667,79.667872,28.303496,0
21,1780260322.568921,1780260322.569043,3,1.007000,487.600000,89.574679,26.983099,0
21,1780260322.570309,1780260322.570451,4,1.014000,470.766667,80.407834,42.500170,1
21,1780260322.570723,1780260322.570845,5,1.007000,478.100000,90.434552,15.349342,1
22,1780260323.574479,1780260323.574668,1,1.021000,0.000000,153.144472,66.616543,1
22,1780260323.575254,1780260323.576243,2,1.005000,439.733333,79.341052,28.187387,1
22,1780260323.576823,1780260323.577033,3,1.002000,485.400000,88.727775,26.727981,1
