cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
35,1780260336.040875,2,1.010380,429.696016,79.978474,21.111516,0.966882,1
35,1780260336.040875,3,1.008737,481.066354,89.069888,24.793528,0.963373,1
35,1780260336.040875,4,1.010000,504.562382,-80.000000,-55.019284,0.823949,1
35,1780260336.040875,5,1.006653,509.522822,93.486957,28.460072,0.956652,0
36,1780260337.040035,1,1.020000,364.212638,-64.768210,-28.545399,0.915068,1
36,1780260337.040035,2,1.014614,364.212638,64.569234,28.067855,0.917100,0
37,1780260338.040275,1,1.020000,775.003585,-147.402868,-30.921197,0.978698,1
37,1780260338.040275,2,1.011107,312.497327,57.956092,16.282887,0.962726,1
37,1780260338.040275,3,1.009155,417.240963,73.650251,31.801683,0.918071,1
37,1780260338.040275,4,1.010000,451.239781,-80.000000,-33.762031,0.921315,1
37,1780260338.040275,5,1.007413,497.796981,94.573176,13.600645,0.989817,0
38,1780260339.070660,1,1.020000,776.388293,-147.212546,-33.065436,0.975691,1
38,1780260339.070660,2,1.010904,361.543466,66.673050,20.091201,0.957473,1
38,1780260339.070660,3,1.009165,370.805800,64.643905,30.070178,0.906704,1
38,1780260339.070660,4,1.010000,470.625860,-80.000000,-42.445784,0.883364,1
38,1780260339.070660,5,1.006949,507.157274,94.687094,22.388148,0.973167,0
39,1780260340.068202,1,1.020000,702.375814,-128.791990,-45.211148,0.943552,1
39,1780260340.068202,2,1.010443,358.613538,66.265856,19.369097,0.959838,1
39,1780260340.068202,3,1.008450,344.427907,61.714958,23.888111,0.932576,0
40,1780260341.033635,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
41,1780260342.119272,1,1.020000,825.490743,-156.089217,-37.034899,0.972987,1
41,1780260342.119272,2,1.010168,325.918549,57.056117,26.063472,0.909591,1
41,1780260342.119272,3,1.008223,500.344212,86.708619,41.463127,0.902159,1
41,1780260342.119272,4,1.010000,503.592568,-80.000000,-54.689276,0.825536,1
41,1780260342.119272,5,1.007106,486.235692,90.945192,20.823198,0.974775,1
