cmd_id,origin_cycle,ts_received,bus,breaker_DT
0,0,1780260111.248405,1,1
0,0,1780260111.248405,2,1
0,0,1780260111.248405,3,1
0,0,1780260111.248405,4,1
0,0,1780260111.248405,5,1
0,0,1780260112.249678,1,1
0,0,1780260112.249678,2,1
0,0,1780260112.249678,3,1
0,0,1780260112.249678,4,1
0,0,1780260112.249678,5,1
0,0,1780260113.250088,1,1
0,0,1780260113.250088,2,1
0,0,1780260113.250088,3,1
0,0,1780260113.250088,4,1
0,0,1780260113.250088,5,1
0,0,1780260114.280821,1,1
0,0,1780260114.280821,2,1
0,0,1780260114.280821,3,1
0,0,1780260114.280821,4,1
0,0,1780260114.280821,5,1
0,0,1780260115.282084,1,1
0,0,1780260115.282084,2,1
0,0,1780260115.282084,3,1
0,0,1780260115.282084,4,1
0,0,1780260115.282084,5,1
0,0,1780260116.326622,1,1
0,0,1780260116.326622,2,1
0,0,1780260116.326622,3,1
0,0,1780260116.326622,4,1
0,0,1780260116.326622,5,1
0,0,1780260117.330021,1,1
0,0,1780260117.330021,2,1
0,0,1780260117.330021,3,1
0,0,1780260117.330021,4,1
0,0,1780260117.330021,5,1
0,0,1780260118.330310,1,1
0,0,1780260118.330310,2,1
0,0,1780260118.330310,3,1
0,0,1780260118.330310,4,1
0,0,1780260118.330310,5,1
2,5,1780260119.337420,1,1
2,5,1780260119.337420,2,1
2,5,1780260119.337420,3,1
2,5,1780260119.337420,4,1
2,5,1780260119.337420,5,1
4,8,1780260120.360415,1,1
4,8,1780260120.360415,2,1
4,8,1780260120.360415,3,1
4,8,1780260120.360415,4,1
4,8,1780260120.360415,5,1
5,9,1780260121.364552,1,1
5,9,1780260121.364552,2,1
5,9,1780260121.364552,3,1
5,9,1780260121.364552,4,1
5,9,1780260121.364552,5,1
0,0,1780260207.272111,1,1
0,0,1780260207.272111,2,1
0,0,1780260207.272111,3,1
0,0,1780260207.272111,4,1
0,0,1780260207.272111,5,1
0,0,1780260208.356418,1,1
0,0,1780260208.356418,2,1
0,0,1780260208.356418,3,1
0,0,1780260208.356418,4,1
0,0,1780260208.356418,5,1
0,0,1780260209.357485,1,1
0,0,1780260209.357485,2,1
0,0,1780260209.357485,3,1
0,0,1780260209.357485,4,1
0,0,1780260209.357485,5,1
0,0,1780260210.359231,1,1
0,0,1780260210.359231,2,1
0,0,1780260210.359231,3,1
0,0,1780260210.359231,4,1
0,0,1780260210.359231,5,1
0,0,1780260211.562873,1,1
0,0,1780260211.562873,2,1
0,0,1780260211.562873,3,1
0,0,1780260211.562873,4,1
0,0,1780260211.562873,5,1
0,0,1780260212.580996,1,1
0,0,1780260212.580996,2,1
0,0,1780260212.580996,3,1
0,0,1780260212.580996,4,1
0,0,1780260212.580996,5,1
0,0,1780260213.583034,1,1
0,0,1780260213.583034,2,1
0,0,1780260213.583034,3,1
0,0,1780260213.583034,4,1
0,0,1780260213.583034,5,1
0,0,1780260214.593541,1,1
0,0,1780260214.593541,2,1
0,0,1780260214.593541,3,1
0,0,1780260214.593541,4,1
0,0,1780260214.593541,5,1
0,0,1780260215.594078,1,1
0,0,1780260215.594078,2,1
0,0,1780260215.594078,3,1
0,0,1780260215.594078,4,1
0,0,1780260215.594078,5,1
0,0,1780260216.604901,1,1
0,0,1780260216.604901,2,1
0,0,1780260216.604901,3,1
0,0,1780260216.604901,4,1
0,0,1780260216.604901,5,1
0,0,1780260302.838845,1,1
0,0,1780260302.838845,2,1
0,0,1780260302.838845,3,1
0,0,1780260302.838845,4,1
0,0,1780260302.838845,5,1
0,0,1780260303.844032,1,1
0,0,1780260303.844032,2,1
0,0,1780260303.844032,3,1
0,0,1780260303.844032,4,1
0,0,1780260303.844032,5,1
0,0,1780260304.844400,1,1
0,0,1780260304.844400,2,1
0,0,1780260304.844400,3,1
0,0,1780260304.844400,4,1
0,0,1780260304.844400,5,1
0,0,1780260305.848450,1,1
0,0,1780260305.848450,2,1
0,0,1780260305.848450,3,1
0,0,1780260305.848450,4,1
0,0,1780260305.848450,5,1
0,0,1780260306.905479,1,1
0,0,1780260306.905479,2,1
0,0,1780260306.905479,3,1
0,0,1780260306.905479,4,1
0,0,1780260306.905479,5,1
0,0,1780260307.910448,1,1
0,0,1780260307.910448,2,1
0,0,1780260307.910448,3,1
0,0,1780260307.910448,4,1
0,0,1780260307.910448,5,1
0,0,1780260308.910828,1,1
0,0,1780260308.910828,2,1
0,0,1780260308.910828,3,1
0,0,1780260308.910828,4,1
0,0,1780260308.910828,5,1
0,0,1780260309.912510,1,1
0,0,1780260309.912510,2,1
0,0,1780260309.912510,3,1
0,0,1780260309.912510,4,1
0,0,1780260309.912510,5,1
0,0,1780260310.955837,1,1
0,0,1780260310.955837,2,1
0,0,1780260310.955837,3,1
0,0,1780260310.955837,4,1
0,0,1780260310.955837,5,1
0,0,1780260311.958023,1,1
0,0,1780260311.958023,2,1
0,0,1780260311.958023,3,1
0,0,1780260311.958023,4,1
0,0,1780260311.958023,5,1
