metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,0.24,0.68
RTT,system,h3,h4,0.19,0.48
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,5.04,0.09
Throughput,system,h3,h4,4.99,0.15
