cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
175,1780250285.042761,1780250285.043474,1,1.020865,798.154652,0.973600,1
175,1780250285.049588,1780250285.050144,2,1.013344,317.245741,0.904200,1
175,1780250285.056608,1780250285.057252,3,1.005476,462.466322,0.927300,1
175,1780250285.062899,1780250285.063408,4,1.012526,489.063828,0.845100,1
175,1780250285.069226,1780250285.069808,5,1.012479,498.078979,0.969000,1
176,1780250286.065160,1780250286.065695,1,1.022281,800.643208,0.975700,1
176,1780250286.071694,1780250286.072215,2,1.008841,404.242753,0.941100,1
176,1780250286.077719,1780250286.078483,3,1.012231,353.443984,0.925300,1
176,1780250286.084058,1780250286.084578,4,1.007349,491.788721,0.840100,1
176,1780250286.090651,1780250286.091196,5,1.006277,518.052285,0.951700,1
177,1780250287.070263,1780250287.070783,1,1.014941,862.213112,0.985200,1
177,1780250287.076355,1780250287.076922,2,1.012531,396.144797,0.969400,1
177,1780250287.082398,1780250287.082983,3,1.010992,426.744382,0.921200,1
177,1780250287.088914,1780250287.089504,4,1.006466,505.095409,0.820800,1
177,1780250287.095701,1780250287.096264,5,1.005007,518.387253,0.952400,1
178,1780250288.083936,1780250288.084481,1,1.019851,845.600648,0.979500,1
178,1780250288.091122,1780250288.091706,2,1.010862,357.125567,0.932100,1
178,1780250288.097660,1780250288.098377,3,1.013633,455.190260,0.924100,1
178,1780250288.104882,1780250288.105464,4,1.010303,514.618365,0.806100,1
178,1780250288.112382,1780250288.112972,5,1.001388,513.366695,0.952900,1
179,1780250289.108117,1780250289.108733,1,1.022735,676.662449,0.961700,1
179,1780250289.114866,1780250289.115412,2,1.007041,287.060010,0.948700,1
179,1780250289.120909,1780250289.121445,3,1.010732,357.009585,0.904800,1
179,1780250289.127733,1780250289.128245,4,1.011967,455.880182,0.916200,1
179,1780250289.133903,1780250289.134681,5,1.004482,491.234640,0.971900,1
180,1780250290.103582,1780250290.104206,1,1.017038,777.207626,0.980800,1
180,1780250290.109482,1780250290.110237,2,1.011537,316.998223,0.979600,1
180,1780250290.115035,1780250290.115334,3,1.011903,428.740591,0.920800,1
180,1780250290.121053,1780250290.121655,4,1.013337,482.513027,0.864000,1
180,1780250290.127688,1780250290.128474,5,1.007406,496.783196,0.954000,1
181,1780250291.101541,1780250291.102333,1,1.017740,855.842054,0.986500,1
181,1780250291.107826,1780250291.108338,2,1.010393,381.029372,0.968200,1
