metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,11.55,19.99
RTT,system,h3,h4,6.34,2.42
Packet Loss,field,h2,h3,0.0,0
Packet Loss,system,h3,h4,0.0,0
Throughput,field,h2,h3,4.5,0
Throughput,system,h3,h4,4.99,0
