cmd_id,origin_cycle,ts_received,breaker_DT
0,0,1780243261.076096,1:1;2:1;3:1;4:1;5:1
0,0,1780243262.077684,1:1;2:1;3:1;4:1;5:1
0,0,1780243263.078147,1:1;2:1;3:1;4:1;5:1
0,0,1780243264.079077,1:1;2:1;3:1;4:1;5:1
0,0,1780243265.080151,1:1;2:1;3:1;4:1;5:1
0,0,1780243266.081308,1:1;2:1;3:1;4:1;5:1
0,0,1780243267.087628,1:1;2:1;3:1;4:1;5:1
1,6,1780243268.092442,1:1;2:1;3:1;4:1;5:1
2,7,1780243269.098897,1:1;2:1;3:1;4:1;5:1
3,8,1780243270.105567,1:1;2:1;3:1;4:1;5:1
4,9,1780243271.110034,1:1;2:1;3:1;4:1;5:1
4,9,1780243272.122061,1:1;2:1;3:1;4:1;5:1
6,11,1780243273.122708,1:1;2:1;3:1;4:1;5:1
6,11,1780243274.123363,1:1;2:1;3:1;4:1;5:1
8,13,1780243275.125638,1:1;2:1;3:1;4:1;5:1
8,14,1780243276.126215,1:1;2:1;3:1;4:1;5:1
9,14,1780243277.126349,1:1;2:1;3:1;4:1;5:1
10,15,1780243278.129090,1:1;2:1;3:1;4:1;5:1
12,17,1780243279.130641,1:1;2:1;3:1;4:1;5:1
13,18,1780243280.133699,1:1;2:1;3:1;4:1;5:1
13,18,1780243281.135467,1:1;2:1;3:1;4:1;5:1
14,19,1780243282.144233,1:1;2:1;3:1;4:1;5:1
15,21,1780243283.145557,1:1;2:1;3:1;4:1;5:1
17,22,1780243284.148133,1:1;2:1;3:1;4:1;5:1
17,22,1780243285.150363,1:1;2:1;3:1;4:1;5:1
18,23,1780243286.155295,1:1;2:1;3:1;4:1;5:1
19,24,1780243287.168338,1:1;2:1;3:1;4:1;5:1
20,25,1780243288.170347,1:1;2:1;3:1;4:1;5:1
21,26,1780243289.192443,1:1;2:1;3:1;4:1;5:1
22,27,1780243290.212770,1:1;2:1;3:1;4:1;5:1
23,28,1780243291.224564,1:1;2:1;3:1;4:1;5:1
24,29,1780243292.225136,1:1;2:1;3:1;4:1;5:1
25,30,1780243293.225127,1:1;2:1;3:1;4:1;5:1
26,31,1780243294.226101,1:1;2:1;3:1;4:1;5:1
26,31,1780243295.233084,1:1;2:1;3:1;4:1;5:1
27,33,1780243296.271061,1:1;2:1;3:1;4:1;5:1
28,34,1780243297.282084,1:1;2:1;3:1;4:1;5:1
29,35,1780243298.286670,1:1;2:1;3:1;4:1;5:1
30,35,1780243299.289079,1:1;2:1;3:1;4:1;5:1
31,37,1780243300.299003,1:1;2:1;3:1;4:1;5:1
32,38,1780243301.342688,1:1;2:1;3:1;4:1;5:1
33,39,1780243302.350129,1:1;2:1;3:1;4:1;5:1
35,41,1780243303.363353,1:1;2:1;3:1;4:1;5:1
35,41,1780243304.364930,1:1;2:1;3:1;4:1;5:1
36,41,1780243305.409184,1:1;2:1;3:1;4:1;5:1
36,41,1780243306.410128,1:1;2:1;3:1;4:1;5:1
37,43,1780243307.435968,1:1;2:1;3:1;4:1;5:1
39,45,1780243308.438769,1:1;2:1;3:1;4:1;5:1
40,47,1780243309.463365,1:1;2:1;3:1;4:1;5:1
40,47,1780243310.488730,1:1;2:1;3:1;4:1;5:1
42,48,1780243311.567955,1:1;2:1;3:1;4:1;5:1
43,50,1780243312.580697,1:1;2:1;3:1;4:1;5:1
43,50,1780243313.584218,1:1;2:1;3:1;4:1;5:1
44,51,1780243314.586691,1:1;2:1;3:1;4:1;5:1
45,51,1780243315.587764,1:1;2:1;3:1;4:1;5:1
46,52,1780243316.588646,1:1;2:1;3:1;4:1;5:1
48,54,1780243317.595257,1:1;2:1;3:1;4:1;5:1
49,55,1780243318.598019,1:1;2:1;3:1;4:1;5:1
49,55,1780243319.598802,1:1;2:1;3:1;4:1;5:1
51,57,1780243320.599874,1:1;2:1;3:1;4:1;5:1
52,58,1780243321.622528,1:1;2:1;3:1;4:1;5:1
53,59,1780243322.624396,1:1;2:1;3:1;4:1;5:1
54,60,1780243323.628495,1:1;2:1;3:1;4:1;5:1
55,61,1780243324.630123,1:1;2:1;3:1;4:1;5:1
56,62,1780243325.632041,1:1;2:1;3:1;4:1;5:1
57,63,1780243326.632596,1:1;2:1;3:1;4:1;5:1
58,64,1780243327.636794,1:1;2:1;3:1;4:1;5:1
59,65,1780243328.637539,1:1;2:1;3:1;4:1;5:1
60,66,1780243329.643738,1:1;2:1;3:1;4:1;5:1
61,67,1780243330.643909,1:1;2:1;3:1;4:1;5:1
62,68,1780243331.644185,1:1;2:1;3:1;4:1;5:1
63,69,1780243332.645530,1:1;2:1;3:1;4:1;5:1
63,69,1780243333.663942,1:1;2:1;3:1;4:1;5:1
64,70,1780243334.691480,1:1;2:1;3:1;4:1;5:1
66,72,1780243335.692590,1:1;2:1;3:1;4:1;5:1
67,74,1780243336.706585,1:1;2:1;3:1;4:1;5:1
67,74,1780243337.713822,1:1;2:1;3:1;4:1;5:1
68,75,1780243338.714347,1:1;2:1;3:1;4:1;5:1
69,76,1780243339.714772,1:1;2:1;3:1;4:1;5:1
70,77,1780243340.723899,1:1;2:1;3:1;4:1;5:1
71,79,1780243341.726861,1:1;2:1;3:1;4:1;5:1
72,79,1780243342.762440,1:1;2:1;3:1;4:1;5:1
73,80,1780243343.764044,1:1;2:1;3:1;4:1;5:1
74,81,1780243344.764418,1:1;2:1;3:1;4:1;5:1
75,82,1780243345.952282,1:1;2:1;3:1;4:1;5:1
77,84,1780243346.952563,1:1;2:1;3:1;4:1;5:1
78,85,1780243348.013216,1:1;2:1;3:1;4:1;5:1
78,85,1780243349.023644,1:1;2:1;3:1;4:1;5:1
79,86,1780243350.024135,1:1;2:1;3:1;4:1;5:1
81,87,1780243351.029515,1:1;2:1;3:1;4:1;5:1
82,88,1780243352.715890,1:1;2:1;3:1;4:1;5:1
83,90,1780243353.718272,1:1;2:1;3:1;4:1;5:1
83,90,1780243354.720423,1:1;2:1;3:1;4:1;5:1
84,91,1780243355.767465,1:1;2:1;3:1;4:1;5:1
86,92,1780243356.769110,1:1;2:1;3:1;4:1;5:1
86,92,1780243357.773128,1:1;2:1;3:1;4:1;5:1
87,94,1780243358.774809,1:1;2:1;3:1;4:1;5:1
88,96,1780243359.779416,1:1;2:1;3:1;4:1;5:1
89,96,1780243360.807976,1:1;2:1;3:1;4:1;5:1
91,98,1780243361.816367,1:1;2:1;3:1;4:1;5:1
91,98,1780243362.840788,1:1;2:1;3:1;4:1;5:1
92,99,1780243363.841900,1:1;2:1;3:1;4:1;5:1
93,100,1780243364.842323,1:1;2:1;3:1;4:1;5:1
94,101,1780243365.843673,1:1;2:1;3:1;4:1;5:1
95,101,1780243366.845942,1:1;2:1;3:1;4:1;5:1
96,102,1780243367.846422,1:1;2:1;3:1;4:1;5:1
98,104,1780243368.847863,1:1;2:1;3:1;4:1;5:1
98,104,1780243369.849222,1:1;2:1;3:1;4:1;5:1
99,106,1780243370.850052,1:1;2:1;3:1;4:1;5:1
100,107,1780243371.850328,1:1;2:1;3:1;4:1;5:1
101,108,1780243372.858401,1:1;2:1;3:1;4:1;5:1
102,110,1780243373.906433,1:1;2:1;3:1;4:1;5:1
103,110,1780243374.907435,1:1;2:1;3:1;4:1;5:1
104,110,1780243375.907692,1:1;2:1;3:1;4:1;5:1
105,111,1780243376.920646,1:1;2:1;3:1;4:1;5:1
107,113,1780243377.922380,1:1;2:1;3:1;4:1;5:1
108,114,1780243378.929604,1:1;2:1;3:1;4:1;5:1
108,116,1780243379.930797,1:1;2:1;3:1;4:1;5:1
109,116,1780243380.931027,1:1;2:1;3:1;4:1;5:1
110,117,1780243381.932564,1:1;2:1;3:1;4:1;5:1
112,118,1780243382.937977,1:1;2:1;3:1;4:1;5:1
112,118,1780243383.937967,1:1;2:1;3:1;4:1;5:1
