timestamp,run,layer,source,destination,throughput_Mbps,status,error,raw_output_tail
2026-05-07 23:32:11.840375,1,field,h2,h3,4.57,ok,,
2026-05-07 23:32:19.340092,1,system,h3,h4,4.49,ok,,
