dos_mode,metric,value
light,n_runs,3
light,mean_of_run_means_ms,4242.2274
light,stdev_of_run_means_ms,91.7481
light,join_n_probe_rows,15
light,join_n_ok,13
light,join_n_missing_h4,1
light,join_n_missing_h2,1
