dos_mode,run,n_samples,mean_latency_ms,stdev_latency_ms,min_ms,max_ms
light,1,3,4154.8274,13.1244,4140.265,4165.7422
light,2,4,4234.0752,27.0742,4202.4219,4266.309
light,3,4,4337.7795,32.6058,4301.9071,4377.615
