metric,layer,source,destination,mean,std_dev
RTT,field,h2,h3,3.0,2.24
RTT,system,h3,h4,5.09,13.61
Packet Loss,field,h2,h3,0.0,0.0
Packet Loss,system,h3,h4,0.0,0.0
Throughput,field,h2,h3,3.32,1.61
Throughput,system,h3,h4,4.58,0.42
