timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 15:54:36.513394,1,field,h2,h3,0.0
2026-04-15 15:54:56.906771,2,field,h2,h3,0.0
2026-04-15 15:55:16.984485,3,field,h2,h3,0.0
2026-04-15 15:55:37.052336,4,field,h2,h3,0.0
2026-04-15 15:55:57.355585,5,field,h2,h3,0.0
2026-04-15 15:56:17.569405,1,system,h3,h4,0.0
2026-04-15 15:56:37.914056,2,system,h3,h4,0.0
2026-04-15 15:56:58.212885,3,system,h3,h4,0.0
2026-04-15 15:57:18.308289,4,system,h3,h4,0.0
2026-04-15 15:57:38.344530,5,system,h3,h4,0.0
